City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Yulara,AU,73.24,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
8,Savannakhet,LA,77.02,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์
11,Kattivakkam,IN,84.29,13.2167,80.3167,Euronova Freezer
13,Sao Jose Da Coroa Grande,BR,76.44,-8.8978,-35.1478,Crôa Mares Hotel
14,Morondava,MG,75.52,-20.2833,44.2833,La Case Bambou
18,Mandera,KE,76.26,3.9366,41.867,Kornesh Hotel and Lodging
19,Ribeira Grande,PT,70.95,38.5167,-28.7,Quinta da Meia Eira
21,Puerto Suarez,BO,71.44,-18.95,-57.8,Hotel casa real
22,Alyangula,AU,84.07,-13.8483,136.4192,Groote Eylandt Lodge
23,Palatka,US,80.56,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
24,Kapaa,US,84.18,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Faanui,PF,77.11,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
27,Dongying,CN,78.98,37.4564,118.4856,Wanda Realm
28,Maner,IN,73.31,25.65,84.8833,Mukesh Sweets
34,Panguna,PG,82.0,-6.3164,155.4848,
37,Galesburg,US,76.71,40.9478,-90.3712,"Holiday Inn Express & Suites Galesburg, an IHG Hotel"
38,Grenville,GD,78.85,12.1167,-61.6167,Valley Breeze Guest House
43,Itarema,BR,77.59,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
44,Rikitea,PF,73.62,-23.1203,-134.9692,People ThankYou
45,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
46,Vaitape,PF,77.07,-16.5167,-151.75,Conrad Bora Bora Nui
47,Gandajika,CD,73.45,-6.75,23.95,
48,Neiafu,TO,79.48,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
51,Gigmoto,PH,83.01,13.7796,124.39,Cj's Travellers Inn
52,Surab,PK,71.58,28.4914,66.2585,Bismillah Hotel
53,Mao,ES,70.36,39.8885,4.2658,ARTIEM Capri
57,Noumea,NC,76.98,-22.2763,166.4572,Hôtel Le Lagon
