City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
4,Vaini,TO,71.76,-21.2,-175.2,overcast clouds,Keleti Beach Resort
10,East London,ZA,77.67,-33.0153,27.9116,scattered clouds,Tu Casa
12,Sehithwa,BW,81.37,-20.4667,22.7167,clear sky,MONLEK GUEST HOUSE
13,Yokadouma,CM,77.83,3.5167,15.05,broken clouds,Hôtel De Ville De Yokadouma
14,Makakilo City,US,74.68,21.3469,-158.0858,overcast clouds,Marriott's Ko Olina Beach Club
17,Rikitea,PF,73.36,-23.1203,-134.9692,clear sky,People ThankYou
19,Nishihara,JP,82.06,26.1842,127.7558,broken clouds,Minshuku Agaihama
20,Albany,US,73.8,42.6001,-73.9662,broken clouds,
22,Ambon,ID,77.14,-3.6954,128.1814,moderate rain,Swiss-Belhotel Ambon
24,Avarua,CK,73.45,-21.2078,-159.775,light rain,Paradise Inn
26,Hamilton,US,77.88,39.1834,-84.5333,clear sky,Six Acres Bed & Breakfast
34,Port Alfred,ZA,80.31,-33.5906,26.891,clear sky,The Halyards Hotel
38,Jamestown,US,73.18,42.097,-79.2353,clear sky,Hampton Inn & Suites Jamestown
39,Tuy Hoa,VN,80.42,13.0833,109.3,overcast clouds,CenDeluxe Hotel Tuy Hoa
41,Eggenfelden,DE,73.44,48.4054,12.7626,overcast clouds,Anders GmbH
43,Puerto Ayora,EC,71.55,-0.7393,-90.3518,overcast clouds,Finch Bay Galapagos Hotel
45,San Cristobal,VE,75.38,7.7669,-72.225,overcast clouds,Posada Villaven C.A.
51,Bengkulu,ID,77.23,-3.8004,102.2655,overcast clouds,Grage Hotel Bengkulu
60,Mahebourg,MU,71.26,-20.4081,57.7,clear sky,Shandrani Beachcomber Resort & Spa
61,Roebourne,AU,74.84,-20.7833,117.1333,clear sky,Latitude20 Roebourne Village
62,Ottawa,CA,70.02,45.4112,-75.6981,overcast clouds,Delta Hotels by Marriott Ottawa City Centre
63,Labuhan,ID,80.2,-6.8844,112.2051,overcast clouds,PT PPI Lamongan Tambak C
67,Machico,PT,83.03,32.7,-16.7667,scattered clouds,Dom Pedro Madeira Hotel
69,Cockburn Town,TC,83.79,21.4612,-71.1419,clear sky,Osprey Beach Hotel
