City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khatanga,RU,71.9667,102.5,45.52,60,13,12.28,few clouds
1,Bowen,AU,-20.0167,148.2333,69.28,73,89,10.07,overcast clouds
2,Kakching,IN,24.4833,93.9833,69.98,89,54,2.55,broken clouds
3,Punta Arenas,CL,-53.15,-70.9167,48.31,37,0,14.97,clear sky
4,Vaini,TO,-21.2,-175.2,71.76,94,90,6.91,overcast clouds
5,Mataura,NZ,-46.1927,168.8643,46.47,94,100,4.88,overcast clouds
6,Sitka,US,57.0531,-135.33,55.29,88,90,10.36,mist
7,Carnarvon,AU,-24.8667,113.6333,62.67,67,0,17.27,clear sky
8,Tuatapere,NZ,-46.1333,167.6833,46.81,85,100,10.27,moderate rain
9,Cape Town,ZA,-33.9258,18.4232,62.89,76,89,1.99,overcast clouds
10,East London,ZA,-33.0153,27.9116,77.67,59,33,10.36,scattered clouds
11,Walvis Bay,NA,-22.9575,14.5053,68.83,47,3,22.5,clear sky
12,Sehithwa,BW,-20.4667,22.7167,81.37,17,0,9.78,clear sky
13,Yokadouma,CM,3.5167,15.05,77.83,78,73,4.14,broken clouds
14,Makakilo City,US,21.3469,-158.0858,74.68,82,90,6.91,overcast clouds
15,Xam Nua,LA,20.4197,104.0439,68.81,90,12,1.72,few clouds
16,Bluff,NZ,-46.6,168.3333,46.8,73,100,19.24,light rain
17,Rikitea,PF,-23.1203,-134.9692,73.36,71,10,10.56,clear sky
18,Yulara,AU,-25.2406,130.9889,58.84,14,0,9.22,clear sky
19,Nishihara,JP,26.1842,127.7558,82.06,89,75,9.22,broken clouds
20,Albany,US,42.6001,-73.9662,73.8,68,54,5.12,broken clouds
21,Chokurdakh,RU,70.6333,147.9167,35.28,66,100,11.72,overcast clouds
22,Ambon,ID,-3.6954,128.1814,77.14,94,40,3.44,moderate rain
23,Beringovskiy,RU,63.05,179.3167,37.36,98,100,17.83,moderate rain
24,Avarua,CK,-21.2078,-159.775,73.45,94,75,5.75,light rain
25,Castro,BR,-24.7911,-50.0119,65.48,79,100,9.44,moderate rain
26,Hamilton,US,39.1834,-84.5333,77.88,61,1,1.01,clear sky
27,Ushuaia,AR,-54.8,-68.3,44.26,57,40,8.05,scattered clouds
28,Bredasdorp,ZA,-34.5322,20.0403,60.28,76,100,0.96,overcast clouds
29,Nikolskoye,RU,59.7035,30.7861,64.29,97,38,5.39,scattered clouds
30,Kyshtovka,RU,56.555,76.6271,41.34,89,30,7.0,scattered clouds
31,Barroquinha,BR,-3.0189,-41.1361,91.18,35,2,13.22,clear sky
32,Nazare,BR,-13.035,-39.0144,86.05,51,84,7.02,broken clouds
33,Barrow,US,71.2906,-156.7887,35.62,93,90,10.36,fog
34,Port Alfred,ZA,-33.5906,26.891,80.31,50,2,9.24,clear sky
35,Sorland,NO,67.667,12.6934,49.28,70,15,10.11,few clouds
36,Torbay,CA,47.6666,-52.7314,69.58,71,26,13.0,scattered clouds
37,Agadez,NE,19.75,10.25,104.83,9,18,12.66,few clouds
38,Jamestown,US,42.097,-79.2353,73.18,58,1,7.0,clear sky
39,Tuy Hoa,VN,13.0833,109.3,80.42,75,100,14.63,overcast clouds
40,Nome,US,64.5011,-165.4064,42.87,82,90,5.75,light rain
41,Eggenfelden,DE,48.4054,12.7626,73.44,83,93,3.27,overcast clouds
42,Busselton,AU,-33.65,115.3333,45.09,86,5,7.85,clear sky
