City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,38.86,81,0,4.61,AR,2021-09-07 03:21:45
1,Saint-Augustin,51.226,-58.6502,56.34,83,100,9.51,CA,2021-09-07 03:22:12
2,Kuytun,54.3419,101.5036,40.73,92,100,4.99,RU,2021-09-07 03:22:12
3,Palaikastron,35.2,26.25,73.94,73,3,23.47,GR,2021-09-07 03:22:12
4,San Patricio,28.017,-97.5169,86.09,62,8,9.95,US,2021-09-07 03:22:13
5,Berlevag,70.8578,29.0864,32.0,72,21,4.59,NO,2021-09-07 03:22:13
6,Yellowknife,62.456,-114.3525,55.92,88,20,6.91,CA,2021-09-07 03:22:01
7,East London,-33.0153,27.9116,52.74,93,75,5.75,ZA,2021-09-07 03:22:13
8,Nishihara,26.1842,127.7558,87.46,70,40,6.91,JP,2021-09-07 03:22:14
9,Homer,59.6425,-151.5483,59.07,64,1,9.22,US,2021-09-07 03:22:14
10,Awbari,26.5921,12.7805,82.13,38,6,7.85,LY,2021-09-07 03:22:14
11,Kosai,34.7105,137.5316,76.55,62,100,8.34,JP,2021-09-07 03:22:15
12,Busselton,-33.65,115.3333,76.05,66,0,14.63,AU,2021-09-07 03:22:15
13,Hamilton,39.1834,-84.5333,73.83,71,1,0.0,US,2021-09-07 03:22:15
14,New Norfolk,-42.7826,147.0587,55.92,54,96,8.01,AU,2021-09-07 03:22:16
15,Todos Santos,23.45,-110.2167,85.1,86,29,6.02,MX,2021-09-07 03:22:16
16,Zhuanghe,39.7008,122.9911,69.12,70,84,12.41,CN,2021-09-07 03:22:16
17,Alofi,-19.0595,-169.9187,84.09,70,20,8.05,NU,2021-09-07 03:22:17
18,Ahipara,-35.1667,173.1667,59.65,89,92,10.22,NZ,2021-09-07 03:22:17
19,Rikitea,-23.1203,-134.9692,73.8,72,72,6.17,PF,2021-09-07 03:22:17
20,Lebu,-37.6167,-73.65,46.54,89,100,7.94,CL,2021-09-07 03:22:18
21,Chuy,-33.6971,-53.4616,56.07,85,100,13.62,UY,2021-09-07 03:22:18
22,Bengkulu,-3.8004,102.2655,81.0,75,64,6.76,ID,2021-09-07 03:22:18
23,Culaman,5.9603,125.6586,86.41,66,96,6.69,PH,2021-09-07 03:22:19
24,Vredendal,-31.6683,18.5012,48.99,63,0,5.95,ZA,2021-09-07 03:22:19
25,Clarence Town,-32.5833,151.7833,76.62,27,0,11.25,AU,2021-09-07 03:22:20
26,Barabai,-2.5833,115.3833,85.21,65,86,2.1,ID,2021-09-07 03:22:20
27,Torbay,47.6666,-52.7314,50.77,93,75,9.22,CA,2021-09-07 03:22:20
28,Kapaa,22.0752,-159.319,84.52,68,40,1.99,US,2021-09-07 03:22:20
29,Huejucar,22.35,-103.2167,63.25,82,100,3.44,MX,2021-09-07 03:22:21
30,Qaanaaq,77.484,-69.3632,13.41,66,86,7.92,GL,2021-09-07 03:22:21
31,Karratha,-20.7377,116.8463,81.23,17,50,23.96,AU,2021-09-07 03:22:22
32,Vaini,-21.2,-175.2,80.76,83,20,8.05,TO,2021-09-07 03:22:22
33,Shiraz,29.6036,52.5388,72.84,18,0,6.91,IR,2021-09-07 03:19:17
34,Lata,40.1629,-8.3327,68.36,89,95,4.92,PT,2021-09-07 03:22:22
35,Tezu,27.9167,96.1667,82.33,81,99,1.59,IN,2021-09-07 03:22:23
36,Half Moon Bay,37.4636,-122.4286,88.41,76,40,0.0,US,2021-09-07 03:22:23
37,Bredasdorp,-34.5322,20.0403,38.52,93,0,3.44,ZA,2021-09-07 03:22:23
38,Carnarvon,-24.8667,113.6333,78.87,41,6,8.05,AU,2021-09-07 03:22:24
39,Beloha,-25.1667,45.05,63.93,61,0,6.42,MG,2021-09-07 03:22:24
40,Kodiak,57.79,-152.4072,55.72,82,47,8.05,US,2021-09-07 03:22:24
41,Santiago,-33.4569,-70.6483,49.15,57,75,5.75,CL,2021-09-07 03:21:06
42,Bluff,-46.6,168.3333,47.8,85,100,17.22,NZ,2021-09-07 03:22:25
43,Avarua,-21.2078,-159.775,73.45,83,75,10.36,CK,2021-09-07 03:22:25
44,Great Yarmouth,52.6083,1.7305,60.57,85,73,5.88,GB,2021-09-07 03:22:25
45,Marystown,47.1666,-55.1483,57.81,93,100,11.52,CA,2021-09-07 03:22:26
46,Atuona,-9.8,-139.0333,78.35,73,1,17.43,PF,2021-09-07 03:22:26
47,Srednekolymsk,67.45,153.6833,40.05,61,100,18.05,RU,2021-09-07 03:22:26
48,Albany,42.6001,-73.9662,60.46,86,0,4.97,US,2021-09-07 03:21:32
49,Gazimurskiy Zavod,51.5461,118.3266,56.5,49,81,6.49,RU,2021-09-07 03:22:27
50,Leningradskiy,69.3833,178.4167,37.53,63,100,2.08,RU,2021-09-07 03:22:27
51,Port Lincoln,-34.7333,135.8667,60.78,62,64,3.65,AU,2021-09-07 03:22:28
52,Provideniya,64.3833,-173.3,42.91,75,75,8.95,RU,2021-09-07 03:22:28
53,Hede,33.7681,120.2517,75.49,79,100,11.32,CN,2021-09-07 03:22:28
54,Sao Joao Da Barra,-21.6403,-41.0511,71.06,84,49,10.98,BR,2021-09-07 03:22:29
55,Benguela,-12.5763,13.4055,70.09,90,52,2.73,AO,2021-09-07 03:22:29
56,Broken Hill,-31.95,141.4333,63.03,41,5,8.14,AU,2021-09-07 03:22:29
57,Puerto Ayora,-0.7393,-90.3518,68.56,81,100,9.42,EC,2021-09-07 03:22:30
58,Hermanus,-34.4187,19.2345,47.89,79,0,10.58,ZA,2021-09-07 03:22:30
59,Deputatskiy,69.3,139.9,35.53,70,100,13.4,RU,2021-09-07 03:22:30
60,Sitka,57.0531,-135.33,57.09,82,90,3.44,US,2021-09-07 03:22:31
61,Esperance,-33.8667,121.9,69.75,45,0,19.46,AU,2021-09-07 03:22:31
62,Shingu,33.7333,135.9833,83.39,83,99,5.48,JP,2021-09-07 03:22:31
63,Klaksvik,62.2266,-6.589,56.32,96,100,13.87,FO,2021-09-07 03:22:32
64,Cape Town,-33.9258,18.4232,48.61,79,0,1.01,ZA,2021-09-07 03:22:32
65,San-Pedro,4.7485,-6.6363,75.04,92,99,4.41,CI,2021-09-07 03:22:32
66,Kahului,20.8947,-156.47,82.42,65,40,18.41,US,2021-09-07 03:22:33
67,Hobart,-42.8794,147.3294,56.26,50,40,1.01,AU,2021-09-07 03:19:15
68,Maroon Town,18.3446,-77.7954,78.8,89,2,3.96,JM,2021-09-07 03:22:33
69,Faanui,-16.4833,-151.75,78.84,74,5,12.84,PF,2021-09-07 03:22:33
70,Dudinka,69.4058,86.1778,51.55,72,7,13.76,RU,2021-09-07 03:22:34
71,Victor Harbor,-35.5667,138.6167,64.18,65,76,1.99,AU,2021-09-07 03:22:34
72,Rock Springs,41.5875,-109.2029,72.84,16,1,7.0,US,2021-09-07 03:22:34
73,Dikson,73.5069,80.5464,43.61,88,77,18.95,RU,2021-09-07 03:22:35
74,Hilo,19.7297,-155.09,82.13,69,90,3.44,US,2021-09-07 03:18:54
75,La Ronge,55.1001,-105.2842,61.05,55,20,3.44,CA,2021-09-07 03:22:35
76,Thompson,55.7435,-97.8558,53.76,87,90,4.61,CA,2021-09-07 03:18:12
77,Tiksi,71.6872,128.8694,38.95,73,96,12.64,RU,2021-09-07 03:22:36
78,Hofn,64.2539,-15.2082,53.31,79,99,5.12,IS,2021-09-07 03:22:36
79,Porto Belo,-27.1578,-48.5531,66.18,89,93,9.04,BR,2021-09-07 03:22:36
80,Mangrol,21.1167,70.1167,81.48,86,82,11.72,IN,2021-09-07 03:22:37
81,Nikolskoye,59.7035,30.7861,49.89,98,94,4.7,RU,2021-09-07 03:22:37
82,Victoria,22.2855,114.1577,90.97,75,46,1.99,HK,2021-09-07 03:21:40
83,Upernavik,72.7868,-56.1549,28.78,70,100,8.16,GL,2021-09-07 03:18:09
84,Falam,22.9167,93.6833,71.04,76,45,2.73,MM,2021-09-07 03:22:38
85,Meulaboh,4.1363,96.1285,82.04,75,64,3.85,ID,2021-09-07 03:22:38
86,Mataura,-46.1927,168.8643,47.48,98,100,7.52,NZ,2021-09-07 03:22:38
87,Lagoa,39.05,-27.9833,68.09,79,100,14.45,PT,2021-09-07 03:22:39
88,Jahazpur,25.6167,75.2833,85.89,68,86,4.94,IN,2021-09-07 03:22:39
89,Broome,42.2506,-75.833,61.65,92,0,1.99,US,2021-09-07 03:22:39
90,Hasaki,35.7333,140.8333,73.8,59,96,17.25,JP,2021-09-07 03:22:40
91,Muros,42.7762,-9.0603,68.23,95,76,7.87,ES,2021-09-07 03:22:40
92,Nelson Bay,-32.7167,152.15,76.77,34,0,1.99,AU,2021-09-07 03:22:40
93,Caravelas,-17.7125,-39.2481,73.09,94,1,5.14,BR,2021-09-07 03:22:41
94,Itinga,-16.6131,-41.7653,77.77,57,0,2.75,BR,2021-09-07 03:21:33
95,Tasiilaq,65.6145,-37.6368,39.36,87,77,3.98,GL,2021-09-07 03:22:41
96,Singkang,2.1006,102.7994,84.09,63,40,4.45,MY,2021-09-07 03:22:41
97,Imphal,24.8167,93.95,78.71,78,75,4.61,IN,2021-09-07 03:22:42
98,Port Blair,11.6667,92.75,83.5,79,83,11.36,IN,2021-09-07 03:22:42
99,Tabuk,17.4189,121.4443,86.4,67,34,3.06,PH,2021-09-07 03:22:42
100,Te Anau,-45.4167,167.7167,43.57,96,100,2.19,NZ,2021-09-07 03:22:43
101,Champaign,40.1334,-88.2001,73.4,78,20,1.99,US,2021-09-07 03:20:44
102,Narwar,25.65,77.9,83.5,74,100,9.82,IN,2021-09-07 03:22:43
103,Sabzevar,36.2126,57.6819,67.28,34,0,11.5,IR,2021-09-07 03:22:44
104,Palu,-0.8917,119.8707,87.44,65,71,3.44,ID,2021-09-07 03:22:44
105,Hithadhoo,-0.6,73.0833,82.92,69,100,9.66,MV,2021-09-07 03:22:44
106,Necochea,-38.5473,-58.7368,49.03,91,49,9.51,AR,2021-09-07 03:22:45
107,Saint Anthony,45.0205,-93.218,73.33,61,1,4.0,US,2021-09-07 03:22:45
108,Kieta,-6.2167,155.6333,83.62,74,77,7.4,PG,2021-09-07 03:22:45
109,Chhindwara,22.0667,78.9333,77.09,84,100,11.5,IN,2021-09-07 03:22:46
110,Butaritari,3.0707,172.7902,82.47,75,36,13.42,KI,2021-09-07 03:22:46
111,Jamestown,42.097,-79.2353,67.59,88,90,3.13,US,2021-09-07 03:18:09
112,Vardo,70.3705,31.1107,32.2,69,58,10.89,NO,2021-09-07 03:22:46
113,Kavaratti,10.5669,72.642,81.45,80,100,17.52,IN,2021-09-07 03:22:47
114,Pisco,-13.7,-76.2167,62.65,77,91,5.75,PE,2021-09-07 03:22:47
115,Aklavik,68.2191,-135.0107,43.63,80,100,7.4,CA,2021-09-07 03:22:47
116,Lillooet,50.6856,-121.942,70.52,58,88,3.69,CA,2021-09-07 03:22:48
117,Hirara,24.8,125.2833,88.07,70,40,6.91,JP,2021-09-07 03:22:48
118,Mahebourg,-20.4081,57.7,70.25,83,40,14.97,MU,2021-09-07 03:22:48
119,Iqaluit,63.7506,-68.5145,42.53,75,40,12.66,CA,2021-09-07 03:22:49
120,Port Alfred,-33.5906,26.891,58.06,62,95,10.2,ZA,2021-09-07 03:22:49
121,Longyearbyen,78.2186,15.6401,35.44,60,75,12.66,SJ,2021-09-07 03:21:18
122,Airai,-8.9266,125.4092,71.38,52,20,6.24,TL,2021-09-07 03:22:50
123,Castro,-24.7911,-50.0119,57.22,91,49,11.25,BR,2021-09-07 03:22:50
124,Khatanga,71.9667,102.5,62.19,49,63,9.04,RU,2021-09-07 03:22:50
125,Warwick,41.7001,-71.4162,68.45,82,1,5.75,US,2021-09-07 03:22:32
126,Senneterre,48.3835,-77.2328,53.82,97,100,9.24,CA,2021-09-07 03:22:51
127,Gazojak,41.1875,61.4036,77.41,19,0,9.1,TM,2021-09-07 03:22:51
128,Yarovoye,52.9273,78.58,62.56,55,4,7.27,RU,2021-09-07 03:22:52
129,Barrow,71.2906,-156.7887,39.22,70,1,14.97,US,2021-09-07 03:22:52
130,Lockhart,28.6194,-81.4426,79.09,79,40,5.75,US,2021-09-07 03:22:52
131,Moose Factory,51.2585,-80.6094,55.4,94,90,3.44,CA,2021-09-07 03:22:53
132,Kholtoson,50.2981,103.3097,46.87,70,99,1.92,RU,2021-09-07 03:22:53
133,Punta Arenas,-53.15,-70.9167,37.51,93,0,4.61,CL,2021-09-07 03:22:53
134,Nioro,13.35,-15.75,75.83,92,100,5.7,GM,2021-09-07 03:18:10
135,Faya,18.3851,42.4509,62.71,34,42,4.52,SA,2021-09-07 03:22:54
136,Ancud,-41.8697,-73.8203,45.43,92,58,6.82,CL,2021-09-07 03:22:54
137,Cidreira,-30.1811,-50.2056,62.64,84,100,19.91,BR,2021-09-07 03:22:55
138,Axim,4.8699,-2.2405,74.7,93,95,8.08,GH,2021-09-07 03:22:55
139,Chumikan,54.7183,135.315,66.36,60,97,3.06,RU,2021-09-07 03:22:55
140,Kununurra,-15.7667,128.7333,80.58,18,1,12.66,AU,2021-09-07 03:22:56
141,Henties Bay,-22.116,14.2845,47.86,90,0,9.08,NA,2021-09-07 03:22:56
142,Coquimbo,-29.9533,-71.3436,53.33,82,0,8.05,CL,2021-09-07 03:22:56
143,Waingapu,-9.6567,120.2641,86.31,57,62,19.62,ID,2021-09-07 03:22:57
144,Paita,-5.0892,-81.1144,63.41,87,59,13.09,PE,2021-09-07 03:22:57
145,Ambon,-3.6954,128.1814,75.34,94,75,4.61,ID,2021-09-07 03:22:57
146,College,64.8569,-147.8028,55.58,65,75,6.91,US,2021-09-07 03:22:58
147,Shelburne,44.0787,-80.2041,57.85,95,4,7.43,CA,2021-09-07 03:22:58
148,Upata,8.0086,-62.3989,76.19,94,100,3.94,VE,2021-09-07 03:22:58
149,Pizarro,4.9533,-77.366,76.46,89,98,5.03,CO,2021-09-07 03:22:59
150,Maliig,13.8456,120.1503,82.92,74,86,5.99,PH,2021-09-07 03:22:59
151,Bethel,41.3712,-73.414,69.01,86,1,0.0,US,2021-09-07 03:23:00
152,Penzance,50.1186,-5.5371,67.21,87,0,15.37,GB,2021-09-07 03:23:00
153,Chokurdakh,70.6333,147.9167,36.07,65,100,19.77,RU,2021-09-07 03:23:00
154,Santona,43.4439,-3.4576,88.11,55,98,7.05,ES,2021-09-07 03:23:01
155,Lokosovo,61.1333,74.8167,51.03,59,98,9.22,RU,2021-09-07 03:23:01
156,Acara,-1.9608,-48.1967,72.25,94,27,1.39,BR,2021-09-07 03:23:01
157,Maniitsoq,65.4167,-52.9,41.52,80,100,12.62,GL,2021-09-07 03:18:09
158,Copiapo,-27.3667,-70.3333,51.49,69,80,3.27,CL,2021-09-07 03:23:02
159,Acajutla,13.5928,-89.8275,73.8,84,89,4.79,SV,2021-09-07 03:23:02
160,San Quintin,30.4833,-115.95,72.55,80,60,3.02,MX,2021-09-07 03:23:02
161,Ryotsu,38.0833,138.4333,76.96,62,80,5.23,JP,2021-09-07 03:23:03
162,Buzmeyin,38.0507,58.2056,78.53,41,0,13.8,TM,2021-09-07 03:23:03
163,Moranbah,-22.0016,148.0466,74.21,25,0,18.81,AU,2021-09-07 03:23:03
164,Sisimiut,66.9395,-53.6735,40.98,95,100,24.61,GL,2021-09-07 03:23:04
165,Thinadhoo,0.5333,72.9333,82.85,72,89,11.1,MV,2021-09-07 03:23:04
166,Taoudenni,22.6783,-3.9836,93.72,12,0,4.94,ML,2021-09-07 03:23:05
167,Lipin Bor,60.2622,37.9763,44.87,93,97,11.21,RU,2021-09-07 03:23:05
168,Port Elizabeth,-33.918,25.5701,52.09,93,20,3.44,ZA,2021-09-07 03:23:05
169,Gushikawa,26.3544,127.8686,87.8,70,20,5.75,JP,2021-09-07 03:23:06
170,Lipari,38.4674,14.954,72.55,60,27,3.76,IT,2021-09-07 03:23:06
171,Ivdel,60.6911,60.4206,40.86,76,29,5.99,RU,2021-09-07 03:23:06
172,Mbour,14.422,-16.9638,82.49,83,95,10.04,SN,2021-09-07 03:23:07
173,Souillac,-20.5167,57.5167,70.36,83,40,14.97,MU,2021-09-07 03:23:07
174,Saskylakh,71.9167,114.0833,45.75,70,93,11.81,RU,2021-09-07 03:23:07
175,Adzhamka,48.5424,32.5354,43.88,56,4,0.87,UA,2021-09-07 03:23:08
176,Fairbanks,64.8378,-147.7164,55.6,65,1,5.75,US,2021-09-07 03:20:25
177,Kavieng,-2.5744,150.7967,85.89,61,75,9.51,PG,2021-09-07 03:23:08
178,Saint George,37.1041,-113.5841,93.94,18,1,1.01,US,2021-09-07 03:20:12
179,Kawalu,-7.3817,108.2082,79.38,78,78,5.03,ID,2021-09-07 03:23:09
180,Bilibino,68.0546,166.4372,33.66,95,100,3.49,RU,2021-09-07 03:23:09
181,Dali,25.7,100.1833,70.5,64,15,4.41,CN,2021-09-07 03:23:09
182,Narsaq,60.9167,-46.05,41.22,69,72,2.64,GL,2021-09-07 03:23:10
183,Araouane,18.9048,-3.5265,93.31,30,0,7.65,ML,2021-09-07 03:23:10
184,Lompoc,34.6391,-120.4579,75.34,91,20,4.61,US,2021-09-07 03:23:10
185,Boa Vista,2.8197,-60.6733,80.58,74,0,4.61,BR,2021-09-07 03:20:28
186,Sagua La Grande,22.8067,-80.0756,74.39,79,100,1.9,CU,2021-09-07 03:23:11
187,Forest Hills,42.9595,-85.4898,60.42,85,1,0.0,US,2021-09-07 03:23:11
188,Yulara,-25.2406,130.9889,69.64,21,0,17.27,AU,2021-09-07 03:23:11
189,Nantucket,41.2835,-70.0995,72.09,86,1,9.22,US,2021-09-07 03:23:12
190,Port Hardy,50.6996,-127.4199,60.98,82,90,5.75,CA,2021-09-07 03:23:12
191,Yanam,16.7333,82.2167,79.2,83,94,8.05,IN,2021-09-07 03:23:12
192,Ulaangom,49.9811,92.0667,72.61,23,0,12.19,MN,2021-09-07 03:23:13
193,Lons,43.3167,-0.4,69.66,68,0,3.44,FR,2021-09-07 03:21:08
194,Qaqortoq,60.7167,-46.0333,41.5,78,84,2.71,GL,2021-09-07 03:23:13
195,Rorvik,64.8621,11.2373,54.59,94,100,21.09,NO,2021-09-07 03:23:14
196,Montepuez,-13.1256,38.9997,61.93,97,29,1.81,MZ,2021-09-07 03:23:14
197,Ostrovnoy,68.0531,39.5131,38.86,93,100,20.83,RU,2021-09-07 03:23:14
198,Namatanai,-3.6667,152.4333,85.82,64,50,6.91,PG,2021-09-07 03:23:15
199,Marzuq,14.4,46.4667,77.99,59,100,4.25,YE,2021-09-07 03:23:15
200,Kortkeros,61.8106,51.5806,39.2,87,100,7.94,RU,2021-09-07 03:23:16
201,Asau,46.4333,26.4,49.75,64,4,3.38,RO,2021-09-07 03:23:16
202,Severo-Kurilsk,50.6789,156.125,52.97,81,87,18.59,RU,2021-09-07 03:23:16
203,Tuatapere,-46.1333,167.6833,47.82,90,100,5.5,NZ,2021-09-07 03:23:17
204,Rosita,13.9268,-84.4032,73.76,99,100,2.46,NI,2021-09-07 03:23:17
205,Arraial Do Cabo,-22.9661,-42.0278,70.9,86,63,7.18,BR,2021-09-07 03:23:17
206,Arvika,59.6553,12.5852,54.21,99,100,3.65,SE,2021-09-07 03:23:18
207,Champasak,14.75,106.0,76.32,96,100,2.24,LA,2021-09-07 03:23:18
208,Sao Jose Da Coroa Grande,-8.8978,-35.1478,76.55,70,81,7.27,BR,2021-09-07 03:23:18
209,Arcata,40.8665,-124.0828,58.35,77,1,0.0,US,2021-09-07 03:23:19
210,Marawi,7.9986,124.2928,73.92,89,100,5.91,PH,2021-09-07 03:23:19
211,Lahaina,20.8783,-156.6825,82.4,70,15,8.28,US,2021-09-07 03:23:19
212,Ouadda,8.0777,22.4007,66.87,99,100,4.23,CF,2021-09-07 03:23:20
213,Gat,31.61,34.7642,74.39,76,1,2.62,IL,2021-09-07 03:23:20
214,Mapiri,-15.25,-68.1667,67.35,96,36,1.7,BO,2021-09-07 03:23:20
215,Bonfim,3.0833,-59.95,78.69,73,54,3.44,BR,2021-09-07 03:23:21
216,Cane,14.2833,-87.6667,73.87,100,1,5.75,HN,2021-09-07 03:23:21
217,Kaitangata,-46.2817,169.8464,50.0,85,100,8.52,NZ,2021-09-07 03:23:22
218,Guasdualito,7.2424,-70.7324,73.42,94,66,0.98,VE,2021-09-07 03:23:22
219,Kinwat,19.6333,78.2,78.89,89,100,9.71,IN,2021-09-07 03:23:22
220,Codrington,-38.2667,141.9667,55.65,77,100,14.9,AU,2021-09-07 03:23:23
221,Leshukonskoye,64.8989,45.7622,33.73,93,100,6.76,RU,2021-09-07 03:23:23
222,Belaya Gora,68.5333,146.4167,36.97,62,97,18.39,RU,2021-09-07 03:23:23
223,Nome,64.5011,-165.4064,48.27,93,90,16.11,US,2021-09-07 03:23:24
224,Alta Floresta,-9.8756,-56.0861,77.13,64,83,4.18,BR,2021-09-07 03:23:24
225,Vilyuysk,63.7553,121.6247,57.97,42,99,5.06,RU,2021-09-07 03:23:24
226,Strezhevoy,60.7333,77.5889,51.78,59,92,7.85,RU,2021-09-07 03:23:25
227,Saint-Philippe,-21.3585,55.7679,67.59,78,57,15.39,RE,2021-09-07 03:23:25
228,Viedma,-40.8135,-62.9967,50.88,80,100,10.69,AR,2021-09-07 03:20:27
229,Kruisfontein,-34.0033,24.7314,48.88,89,99,4.25,ZA,2021-09-07 03:23:26
230,Auxerre,47.8,3.5667,57.29,75,99,3.83,FR,2021-09-07 03:23:26
231,Flinders,-34.5833,150.8552,73.2,42,0,8.57,AU,2021-09-07 03:23:26
232,Georgetown,5.4112,100.3354,87.75,66,20,5.75,MY,2021-09-07 03:23:27
233,Isangel,-19.55,169.2667,78.91,73,75,9.22,VU,2021-09-07 03:23:27
234,Ruiru,-1.1606,36.9567,60.67,88,75,5.75,KE,2021-09-07 03:23:27
235,Nanortalik,60.1432,-45.2371,41.0,85,62,13.38,GL,2021-09-07 03:23:28
236,Adrar,20.5022,-10.0711,90.73,15,92,10.07,MR,2021-09-07 03:23:28
237,Alamogordo,32.8995,-105.9603,76.35,59,1,4.61,US,2021-09-07 03:19:04
238,Norman Wells,65.282,-126.8329,53.64,82,75,16.11,CA,2021-09-07 03:23:29
239,Mongoumba,3.6415,18.5936,69.31,97,100,3.02,CF,2021-09-07 03:23:29
240,Saldanha,-33.0117,17.9442,41.05,76,0,9.93,ZA,2021-09-07 03:23:29
241,Gambela,8.25,34.5833,69.4,77,88,2.15,ET,2021-09-07 03:23:29
242,Alice Springs,-23.7,133.8833,63.95,27,0,17.27,AU,2021-09-07 03:23:04
243,Bambous Virieux,-20.3428,57.7575,70.21,83,40,14.97,MU,2021-09-07 03:23:30
244,The Valley,18.217,-63.0578,84.06,75,0,15.14,AI,2021-09-07 03:23:30
245,Zhuhai,22.2769,113.5678,90.72,79,40,11.5,CN,2021-09-07 03:23:31
246,Saint-Pierre,-21.3393,55.4781,67.68,69,20,5.75,RE,2021-09-07 03:23:31
247,Caluquembe,-13.7833,14.6833,61.65,69,80,3.4,AO,2021-09-07 03:23:31
